id,eventId,name,type,stage
3,3,予選リーグ A,LEAGUE,QUALIFIER
4,3,予選リーグ B,LEAGUE,QUALIFIER
5,3,予選リーグ C,LEAGUE,QUALIFIER
6,3,予選リーグ D,LEAGUE,QUALIFIER
7,3,予選リーグ E,LEAGUE,QUALIFIER
8,3,予選リーグ F,LEAGUE,QUALIFIER
9,3,予選リーグ G,LEAGUE,QUALIFIER
10,3,決勝トーナメント,TOURNAMENT,FINAL
11,4,本選トーナメント,TOURNAMENT,FINAL
12,5,予選リーグ A,LEAGUE,QUALIFIER
13,5,予選リーグ B,LEAGUE,QUALIFIER
14,5,予選リーグ C,LEAGUE,QUALIFIER
15,5,予選リーグ D,LEAGUE,QUALIFIER
16,5,予選リーグ E,LEAGUE,QUALIFIER
17,5,予選リーグ F,LEAGUE,QUALIFIER
18,5,予選リーグ G,LEAGUE,QUALIFIER
19,5,決勝トーナメント,TOURNAMENT,FINAL
20,6,予選リーグ A,LEAGUE,QUALIFIER
21,6,予選リーグ B,LEAGUE,QUALIFIER
22,6,予選リーグ C,LEAGUE,QUALIFIER
23,6,予選リーグ D,LEAGUE,QUALIFIER
24,6,予選リーグ E,LEAGUE,QUALIFIER
25,6,決勝トーナメント,TOURNAMENT,FINAL
26,7,本選トーナメント,TOURNAMENT,FINAL
27,9,1年予選,CUMULATIVE,QUALIFIER
28,9,2年予選,CUMULATIVE,QUALIFIER
29,9,3年予選,CUMULATIVE,QUALIFIER
30,9,4年予選,CUMULATIVE,QUALIFIER
31,9,5年予選,CUMULATIVE,QUALIFIER
32,9,決勝,SINGLE,FINAL
33,8,1年予選,CUMULATIVE,QUALIFIER
34,8,2年予選,CUMULATIVE,QUALIFIER
35,8,3年予選,CUMULATIVE,QUALIFIER
36,8,4年予選,CUMULATIVE,QUALIFIER
37,8,5年予選,CUMULATIVE,QUALIFIER
38,8,決勝,SINGLE,FINAL
