id,eventBlockId,locationId,name,description,stage,status,scheduledStartTime,scheduledEndTime,note,participants
94,11,7,①,,ROUND_1,Waiting,2026-05-21T00:15:00.000Z,2026-05-21T00:50:00.000Z,,"[{""id"":188,""teamId"":2,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":189,""teamId"":18,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
95,11,8,②,,ROUND_1,Waiting,2026-05-21T00:15:00.000Z,2026-05-21T00:50:00.000Z,,"[{""id"":190,""teamId"":19,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":191,""teamId"":22,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
114,3,9,A-1,,QUALIFIER,Waiting,2026-05-21T00:15:00.000Z,2026-05-21T00:55:00.000Z,,"[{""id"":342,""teamId"":19,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":343,""teamId"":11,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
115,4,10,B-1,,QUALIFIER,Waiting,2026-05-21T00:15:00.000Z,2026-05-21T00:55:00.000Z,,"[{""id"":344,""teamId"":3,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":345,""teamId"":4,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
117,5,11,C-1,,QUALIFIER,Waiting,2026-05-21T00:15:00.000Z,2026-05-21T00:55:00.000Z,,"[{""id"":346,""teamId"":17,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":347,""teamId"":1,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
127,6,12,D-1,,QUALIFIER,Waiting,2026-05-21T00:15:00.000Z,2026-05-21T00:55:00.000Z,,"[{""id"":348,""teamId"":14,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":349,""teamId"":2,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
84,12,3,A-1,,QUALIFIER,Waiting,2026-05-21T00:20:00.000Z,2026-05-21T00:40:00.000Z,,"[{""id"":167,""teamId"":12,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":168,""teamId"":16,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
90,13,4,B-1,,QUALIFIER,Waiting,2026-05-21T00:20:00.000Z,2026-05-21T00:40:00.000Z,,"[{""id"":179,""teamId"":7,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":180,""teamId"":15,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
213,14,5,C-1,,QUALIFIER,Waiting,2026-05-21T00:20:00.000Z,2026-05-21T00:40:00.000Z,,"[{""id"":518,""teamId"":20,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":519,""teamId"":17,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
214,15,6,D-1,,QUALIFIER,Waiting,2026-05-21T00:20:00.000Z,2026-05-21T00:40:00.000Z,,"[{""id"":520,""teamId"":4,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false},{""id"":521,""teamId"":13,""prereqMatchId"":null,""prereqBlockId"":null,""prereqRank"":null,""score"":null,""rank"":null,""isDisqualified"":false}]"
